Pose/Time (ns),ZINC000100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,ZINC000003932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,ZINC000077301904 PersScore 0.536 PoseScore 2.553 DockingScore -13.363,ZINC000003830434 PersScore 0.313 PoseScore 1.972 DockingScore -9.597,ZINC000004215255 PersScore 0.445 PoseScore 2.772 DockingScore -13.930,ZINC000095615286 PersScore 0.229 PoseScore 2.699 DockingScore -12.759,ZINC000150374455 PersScore 0.209 PoseScore 3.062 DockingScore -13.887,ZINC000008655696 PersScore 0.042 PoseScore 3.214 DockingScore -14.072
0.183,1.066070446,0.581900797,0.813814299,0.877625532,0.742487408,0.738090306,0.798855411,0.828677907,0.685192704
0.184,1.066552571,0.58221147,0.814377541,0.883684597,0.742968404,0.738951806,0.799901704,0.830833391,0.685817159
0.185,1.067572396,0.583782127,0.814742311,0.884374637,0.743265339,0.739830519,0.801019136,0.831411101,0.686453495
0.186,1.068293992,0.583894486,0.815439968,0.884710517,0.743636505,0.745014354,0.801800596,0.831977101,0.686601081
0.187,1.069476214,0.584157327,0.81579194,0.884970165,0.743163936,0.745637724,0.802466615,0.83224211,0.687716669
0.188,1.070292435,0.584457648,0.816080768,0.885262493,0.742957384,0.746739489,0.803064255,0.832800615,0.688438108
0.189,1.071386388,0.584409433,0.816229963,0.885857028,0.743334358,0.747778715,0.803651037,0.833388598,0.689599973
0.19,1.072948116,0.584518051,0.816449404,0.886229284,0.743350441,0.749125389,0.804117672,0.834213409,0.690874483
0.191,1.074405283,0.584954176,0.816629067,0.886717824,0.743129544,0.750167232,0.804623271,0.837106695,0.691880077
0.192,1.074916883,0.585242176,0.818829742,0.8874531,0.74272079,0.751028222,0.804694459,0.837907596,0.692360531
0.193,1.075949769,0.585394279,0.819208174,0.888089562,0.743373212,0.751843769,0.804889138,0.838707061,0.69286699
0.194,1.076538622,0.585492028,0.819285951,0.894281395,0.744280288,0.756888565,0.805029207,0.839370877,0.693548043
0.195,1.077185799,0.585555288,0.819375239,0.895137016,0.745158764,0.757546783,0.805798578,0.839623287,0.694122587
0.196,1.077731295,0.586154405,0.819748339,0.896044939,0.746286866,0.758573272,0.806884391,0.840569535,0.694773726
0.197,1.086025148,0.586530217,0.819918341,0.89851023,0.74688558,0.759269809,0.807308094,0.841169531,0.695006473
0.198,1.08710167,0.586759655,0.820364074,0.903287733,0.74750683,0.76030229,0.807704005,0.848958969,0.695260945
0.199,1.087853785,0.587357954,0.820708548,0.903999136,0.748176964,0.761361597,0.80847744,0.849392157,0.695841509
0.2,1.087967782,0.588040108,0.820951434,0.904737896,0.748818112,0.762339797,0.808930082,0.851605563,0.696305775
0.201,1.088550452,0.588454463,0.821239364,0.915796426,0.749444558,0.762922483,0.809967241,0.853337737,0.697539046
0.202,1.088656132,0.588888502,0.821239135,0.915934659,0.751281098,0.763219741,0.810587996,0.854164065,0.698663836
0.203,1.089279771,0.589294231,0.821499143,0.916479312,0.75207338,0.763794705,0.810750065,0.854621981,0.69924677
0.204,1.090020227,0.589921987,0.821813928,0.917011141,0.753018404,0.764496375,0.811864059,0.855354004,0.700081749
