projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-1.025, 0.230
-0.827, -0.216
-0.851, -0.062
-1.046, -0.044
-0.764, 0.430
-1.137, 0.395
-1.232, 0.427
-0.747, 0.611
-0.816, 0.956
-0.488, 0.723
-1.021, 0.868
-0.692, 1.601
-0.589, 0.957
-0.547, 0.727
-0.416, 0.718
-0.477, -0.325
-0.581, -0.234
-0.770, 0.271
-0.454, 0.192
-0.803, -0.332
-0.402, -0.171
-0.411, 0.056
-0.180, 0.341
-0.285, 0.441
-0.526, 0.602
0.054, 1.077
-0.267, 0.357
-0.547, -0.319
-0.404, -0.042
-0.343, -0.937
-0.123, -0.879
0.471, 0.082
0.463, -0.419
0.557, 0.770
0.333, 0.177
0.220, 0.297
0.074, 0.580
0.223, 0.467
-0.330, 0.105
-0.240, -0.797
0.354, -0.529
-0.182, -0.084
0.464, 0.545
0.316, -0.148
0.273, -0.472
0.348, 0.336
-0.063, -0.199
-0.176, -0.335
0.110, -1.130
0.223, -0.191
-0.128, 0.331
-0.767, 0.380
-0.821, 0.331
-0.898, 0.565
-0.820, 0.639
-0.843, 0.558
-0.875, 0.243
-0.827, -0.027
-0.382, -0.864
0.190, -0.791
-0.256, -0.272
-0.420, -0.076
-0.229, 1.102
-0.467, 1.192
-0.735, 1.773
-0.784, 1.567
-0.204, 1.565
-0.219, 0.659
-0.316, 0.261
-0.053, 0.846
-0.326, 1.586
-0.164, 1.103
-0.274, 0.445
-0.041, 1.389
-0.420, 0.597
-0.330, -0.186
-0.268, 0.107
-0.390, -0.054
-0.219, -0.376
-0.120, -0.201
-0.041, -0.797
-0.319, 0.211
-0.208, -0.478
-0.113, -0.213
-0.459, -0.776
-0.423, -0.202
-0.708, -0.178
-1.027, -0.362
-0.975, -0.393
-0.442, -0.147
-0.714, -0.115
-0.199, 0.336
-0.482, 0.766
-1.037, 0.766
-0.424, 0.762
-0.800, 0.844
-1.066, 0.565
-0.892, -0.438
-0.058, 0.039
-0.564, 0.362
-1.236, 0.878
-0.794, 0.716
-0.697, 0.190
-0.787, 0.475
-0.641, 0.467
-0.708, -0.058
-0.464, 0.066
0.228, 0.543
0.021, 0.574
-0.094, 0.421
-0.161, 0.426
-0.323, 0.133
-0.066, -0.067
0.361, -0.015
-0.115, -0.348
0.001, -0.510
