projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.290, 0.026
0.210, 0.124
0.052, -0.122
0.204, -0.184
0.267, 0.122
0.293, 0.171
0.436, -0.641
0.343, -0.627
0.114, -0.503
0.001, -0.150
-0.010, 0.101
0.186, -0.334
0.449, -0.538
0.287, 0.323
0.377, 0.714
0.338, 0.916
0.347, 0.611
0.163, 0.170
0.248, 0.243
0.202, 0.575
0.263, 0.181
0.245, 0.359
0.333, 0.141
0.381, 0.254
0.238, 0.374
0.103, 0.444
-0.061, 0.422
0.077, 0.756
-0.143, 0.258
-0.342, 0.373
-0.114, 0.070
0.026, 0.382
-0.151, 0.369
-0.046, 0.415
-0.080, -0.078
0.053, 0.469
0.206, 0.438
0.013, -0.319
0.119, 0.176
0.024, -0.513
0.067, -0.216
-0.129, -0.342
0.078, -0.273
0.046, 0.085
0.023, 0.331
0.227, 0.167
0.258, 0.501
0.071, 0.689
0.023, 0.679
0.184, 0.493
0.018, 0.411
0.042, 0.557
0.123, 0.320
0.257, 0.837
0.390, 0.867
0.280, 0.870
0.097, 1.044
0.089, 0.567
0.175, 0.290
0.201, 1.015
0.331, 0.762
0.280, 0.850
0.318, 0.662
0.132, 0.172
0.120, 0.420
0.276, 0.361
0.064, -0.044
0.319, -0.296
0.201, -0.121
0.217, -0.354
0.303, -0.029
0.166, -0.006
0.167, 0.240
-0.020, 0.661
0.132, -0.070
0.008, 0.265
0.164, 0.407
-0.102, 0.445
0.060, 0.684
0.295, 0.479
0.178, 0.936
-0.016, 0.621
0.138, 0.651
0.112, 0.889
0.106, 0.362
0.092, 0.130
-0.054, 0.337
0.073, 0.446
0.187, 0.354
0.266, 0.099
0.222, 0.540
0.112, 0.594
0.093, 0.381
0.038, 0.136
-0.052, 0.041
0.037, 0.438
0.028, 0.520
0.072, 0.091
0.137, 0.358
0.321, 0.233
-0.010, 0.654
0.114, 0.307
0.208, 0.469
0.024, 0.456
-0.047, 0.404
-0.200, -0.074
0.106, -0.043
0.045, -0.348
-0.107, 0.124
-0.014, 0.183
0.093, -0.051
0.343, 1.140
0.224, 0.508
0.206, 0.729
0.155, 0.433
0.052, 0.360
0.265, 0.167
0.550, 0.058
