projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.502, -0.037
-0.336, -0.188
-0.537, -0.163
-0.415, -0.137
-0.557, 0.056
-0.493, 0.203
-0.484, 0.137
-0.282, 0.297
-0.560, 0.066
-0.730, -0.093
-0.350, 0.155
-0.367, 0.136
-0.317, 0.290
-0.670, 0.004
-0.213, 0.415
-0.339, 0.221
-0.376, 0.144
-0.538, -0.153
-0.406, -0.006
-0.619, 0.023
-0.459, -0.137
-0.218, 0.580
-0.335, 0.294
-0.277, 0.115
-0.345, 0.305
-0.142, 0.696
-0.458, 0.557
-0.494, 0.110
-0.559, 0.220
-0.304, 0.284
-0.164, 0.581
-0.276, 0.792
-0.231, 0.667
-0.454, -0.117
-0.534, -0.099
-0.599, -0.359
-0.560, -0.222
-0.630, -0.230
-0.447, -0.144
-0.556, -0.058
-0.562, 0.107
-0.261, 0.704
-0.204, 0.610
-0.372, 0.590
-0.475, 0.279
-0.362, 0.668
-0.187, 0.554
-0.327, 0.467
-0.298, 0.614
-0.785, 0.064
-0.469, 0.179
-0.266, 0.307
-0.189, 0.539
-0.644, 0.624
-0.641, 0.542
-0.468, 0.242
-0.312, 0.505
-0.544, 0.710
-0.452, 0.692
-0.388, 0.817
-0.697, 0.614
-0.695, 0.512
-0.728, 0.438
-0.551, 0.290
-0.199, 0.474
-0.642, 0.526
-0.372, 0.872
-0.431, 0.515
-0.232, 0.459
-0.345, 0.470
-0.847, 0.158
-0.538, 0.225
-0.564, 0.092
-0.706, -0.196
-0.482, 0.193
-0.342, 0.360
-0.584, 0.160
-0.767, 0.363
-0.394, 0.256
-0.523, 0.159
-0.642, 0.285
-0.312, 0.314
-0.561, 0.205
-0.386, 0.188
-0.604, -0.045
-0.469, 0.195
-0.204, 0.617
-0.337, 0.510
-0.338, 0.440
-0.414, 0.339
-0.380, 0.395
-0.422, 0.463
-0.447, 0.796
-0.354, 0.389
-0.362, 0.482
-0.359, 0.542
-0.625, 0.428
-0.474, -0.004
-0.634, -0.052
-0.678, 0.282
-0.906, -0.020
-0.768, 0.186
-0.639, -0.033
-0.418, 0.422
-0.692, 0.237
-0.802, 0.119
-0.751, -0.046
-0.478, 0.654
-0.450, 0.819
-0.015, 1.033
-0.199, 0.506
-0.344, 0.672
-0.621, 0.480
-0.627, 0.302
-0.676, 0.514
-0.295, 0.655
-0.192, 1.020
-0.190, 0.549
-0.374, 0.721
-0.036, 0.702
-0.281, 0.275
-0.226, 0.948
-0.360, 0.252
-0.540, 0.491
-0.415, 0.608
-0.263, 0.681
-0.261, 0.475
-0.629, 0.154
-0.673, 0.102
-0.727, 0.392
-0.538, -0.013
-0.555, -0.170
-0.390, 0.220
-0.650, -0.476
-0.272, 0.288
-0.550, 0.463
-0.724, 0.033
-0.523, 0.381
-0.749, 0.634
-0.742, 0.419
-0.801, 0.701
-0.919, 0.479
-1.118, 0.417
-1.022, 0.100
-0.916, 0.568
-0.551, 0.613
-0.315, 0.880
-0.715, 0.589
-0.647, 0.319
-0.342, 1.034
-0.195, 1.239
-0.405, 0.615
-0.752, 0.214
-0.731, 0.532
-0.626, 0.559
-0.688, 0.400
-0.915, 0.073
-0.530, 0.529
-0.767, 0.471
-0.531, 0.372
-0.527, 0.271
-0.534, 0.907
-0.462, 1.220
-0.543, 0.766
-0.516, 0.758
-0.506, 0.862
-0.490, 0.683
-0.848, 0.609
-0.644, 0.549
-0.440, 0.909
-0.886, 0.425
-0.538, 0.447
-0.495, 0.682
-0.509, 0.620
-0.423, 0.498
-0.559, 0.391
-0.201, 0.841
-0.279, 0.542
-0.181, 0.594
-0.282, 0.482
-0.523, 0.692
-0.528, 0.659
-0.466, 0.486
-0.597, 0.532
-0.552, 0.558
-0.778, 0.353
-0.617, 0.764
-0.506, 0.628
-0.673, 0.440
-0.585, 0.240
-0.853, 0.445
-0.734, 0.524
-0.230, 0.859
-0.451, 0.591
-0.355, 0.478
-0.713, 0.435
-0.769, 0.529
-0.943, 0.631
-0.588, 0.700
-0.773, 0.625
-0.390, 0.638
-0.615, 0.925
-0.880, 0.714
-0.748, 0.768
-0.788, 0.429
-0.805, 0.690
-0.524, 0.831
-0.967, 0.695
-0.524, 1.015
-0.731, 1.002
-0.624, 1.274
-0.697, 0.894
-0.912, 0.462
-0.663, 0.423
-0.776, 0.132
-0.755, 0.222
-0.699, 0.402
-0.698, 0.166
-0.447, 0.233
-0.757, 0.430
-0.712, 0.428
-0.703, 0.165
-0.053, 0.615
-0.668, 0.012
-0.723, 0.401
-0.779, -0.139
-0.776, -0.235
-0.689, 0.112
-0.632, -0.074
-0.777, 0.140
-0.751, 0.091
-0.586, 0.411
-0.554, -0.047
-0.421, 0.453
-0.547, 0.355
-0.687, -0.105
-0.668, 0.490
-0.622, -0.046
-0.276, 0.173
-0.322, 0.225
-0.316, 0.154
-0.871, 0.237
-0.762, 0.080
-0.829, 0.154
-1.205, 0.142
-1.032, -0.055
-1.062, 0.017
-0.754, 0.556
-0.692, 0.124
-0.778, 0.380
-0.954, 0.499
-0.971, 0.714
-0.642, 0.518
-0.921, 0.562
-1.083, 0.153
-1.052, 0.654
-0.767, 0.391
-0.580, 0.728
-0.632, 0.833
-0.633, 0.562
-0.867, 0.776
-1.024, 0.341
-0.480, 0.907
-0.881, 0.555
-0.786, 0.445
-0.625, 0.689
-0.717, 0.305
-0.465, 0.512
-0.638, 0.226
-0.271, 0.409
-0.491, 0.704
-0.400, 0.713
-0.954, 0.523
-0.878, 0.208
-0.420, 0.453
-0.754, 0.442
-0.535, 0.657
-0.470, 0.445
-0.572, 0.340
-0.350, 0.649
-0.962, 0.148
-0.814, 0.324
-0.546, 0.937
-0.570, 0.612
-0.702, 0.739
-0.897, 0.551
-1.104, 0.625
-0.813, 0.520
-0.842, 0.450
-0.816, 0.525
-1.167, 0.328
-0.970, 0.475
-1.384, 0.549
-1.115, 0.464
-1.377, 0.620
-1.194, 0.449
-1.171, 0.874
-1.165, 0.415
-1.033, 0.246
-1.021, 0.487
-0.695, 0.499
-0.773, 0.498
-1.018, 0.203
-0.767, 0.532
-0.607, 0.633
-0.785, 0.470
-0.994, 0.527
-0.985, 0.220
-0.794, 0.618
-0.728, 0.566
-0.964, 0.520
-0.747, 0.373
-0.844, 0.453
-0.808, 0.735
-0.821, 0.387
-0.786, 0.762
-0.911, 0.731
-0.486, 1.057
-0.945, 0.694
-0.699, 0.879
-0.744, 1.228
-0.792, 0.860
-0.731, 0.846
-1.202, 0.616
-1.256, 0.202
-1.240, 0.188
-0.980, 0.583
-1.027, 0.516
-0.975, 0.374
-1.145, 0.043
-0.968, 0.639
-0.696, 0.874
-0.850, 0.565
-0.852, 0.431
-0.827, 0.649
-0.709, 0.556
-0.743, 0.539
-0.656, 0.704
-1.036, 0.278
-1.014, 0.202
-0.941, 0.402
-1.203, 0.399
-1.175, 0.098
-1.106, 0.429
-1.038, 0.563
-1.155, 0.310
-1.004, 0.745
-0.991, 0.908
-1.328, 0.515
-0.545, 1.008
-0.630, 1.061
-1.036, 0.860
-0.778, 0.699
-0.972, 0.933
-1.044, 0.831
-0.964, 0.709
-0.919, 0.823
-1.100, 0.257
-0.847, 0.966
-0.555, 0.613
-0.795, 0.437
-1.053, 0.787
-0.850, 0.951
-0.807, 0.463
-0.827, 0.817
-1.135, 0.477
-1.088, 0.577
-0.873, 0.923
-0.860, 0.763
-1.115, 0.209
-0.605, 1.041
-0.674, 0.481
-0.917, 0.284
-1.109, 0.324
-0.695, 0.377
-0.490, 0.520
-0.695, 0.987
-0.574, 0.745
-0.958, 0.008
-0.775, 0.078
-1.033, 0.292
-0.812, 0.539
-0.806, 0.214
-0.741, 0.484
-0.948, 0.607
-0.908, 0.574
-0.721, 0.315
-0.583, 0.349
-0.890, 0.669
-0.753, 0.668
-0.968, 0.319
-0.860, 0.454
-0.777, 0.735
-1.065, 0.297
-1.146, 0.104
-0.655, 0.340
-0.444, 0.676
-0.397, 0.399
-0.505, 0.529
-0.518, 0.222
-0.527, 0.393
-0.332, 0.500
-0.535, 0.452
-0.673, 0.171
-0.530, 0.556
-0.846, 0.536
-1.150, 0.556
-1.065, 0.422
-0.828, 0.652
-1.036, 0.093
-0.741, -0.023
-0.887, 0.012
-0.456, 0.340
-0.801, 0.278
-0.594, 0.383
-0.785, 0.404
-0.943, -0.053
-0.744, 0.110
-0.819, 0.143
-1.024, 0.328
-0.960, 0.490
-0.973, 0.651
-1.046, 0.534
-0.582, 0.750
-0.668, 0.652
-0.703, 0.423
-0.576, 0.291
-0.844, 0.259
-0.952, 0.140
-0.655, 0.498
-0.726, 0.361
-0.937, 0.467
-0.982, 0.317
-0.929, 0.235
-0.830, 0.153
-0.877, 0.158
-0.651, -0.154
-0.700, -0.019
-0.484, 0.116
-0.879, -0.254
-1.014, -0.386
-0.798, -0.140
-0.471, 0.386
-0.632, 0.149
-0.295, -0.132
-0.303, 0.095
-0.779, 0.143
